offender_id,tag_install_date,tag_type,dob,sex,ethnic_group,original_offence
HWF2628GJA,2022-09-15,location,1965-03-07,female,unknown,Fraud
JSP3776IIV,2022-12-12,curfew,1996-07-06,female,unknown,Summary non-motoring
TLH0407BRO,2022-10-12,location,1945-10-24,female,unknown,Violence against the person
GZH2798KZF,2022-08-16,curfew,2008-02-17,male,mixed,Drug offence
VUE8594CUE,2022-12-10,curfew,1990-10-18,male,white,Drug offence
IOG5808EMN,2022-12-24,curfew,2016-08-02,female,black,Summary non-motoring
PMU6413FNK,2022-11-02,alcohol,1938-07-06,male,other,Theft offence
JLK0883RDQ,2022-10-05,alcohol,1928-05-31,male,black,Criminal Damage
LNA0563WCN,2022-10-25,curfew,1958-05-12,female,asian,Fraud
RPC5667QAS,2022-08-14,location,1990-11-16,male,mixed,Fraud
UZW7441HTE,2022-10-09,curfew,1917-03-05,female,unknown,Violence against the person
PYS1357LXO,2022-12-14,curfew,1929-09-11,male,mixed,Violence against the person
WKS2226WNW,2022-08-13,alcohol,2008-06-07,female,unknown,Other Indictable
GPA6485BMJ,2022-08-16,curfew,1966-08-30,male,unknown,Summary motoring
JGI7678MAS,2022-10-19,curfew,1969-04-16,male,mixed,Other Indictable
JHC0349USE,2022-08-14,curfew,1972-08-19,male,mixed,Fraud
LAD3552MNN,2022-09-11,alcohol,1944-10-12,male,mixed,Summary motoring
ISN7758XQR,2022-12-09,location,1920-10-29,male,unknown,Other Indictable
APB8385OXY,2022-10-19,location,1997-01-06,male,white,Other Indictable
YAG6577ECT,2022-10-14,curfew,1995-09-14,male,black,Summary motoring
UXG5428VNU,2022-09-10,location,1953-06-28,male,white,Violence against the person
PJQ0076MEP,2022-08-23,location,1938-09-21,female,other,Summary motoring
GBL8717HZD,2022-10-31,curfew,1904-10-16,male,other,Other Indictable
GVP8119EUL,2022-08-22,curfew,2010-12-19,female,unknown,Summary motoring
WXG6632HHM,2022-09-01,location,1985-04-21,female,black,Violence against the person
GTX4994GWA,2022-09-14,alcohol,1999-07-03,female,unknown,Summary motoring
ZHC0170CZP,2022-11-01,curfew,1990-11-27,female,unknown,Summary motoring
SZT5531LZC,2022-10-19,location,2011-12-12,female,black,Drug offence
HGJ6403JSM,2022-08-22,location,1929-12-14,male,asian,Summary motoring
ZEJ0438EXK,2022-11-30,curfew,1944-08-27,male,black,Criminal Damage
UBK9215UXB,2022-11-09,curfew,1919-04-03,male,black,Theft offence
DRB6555MQS,2022-09-01,alcohol,1930-09-05,male,unknown,Summary motoring
HGI6355JQJ,2022-12-20,location,1962-04-02,female,black,Summary motoring
EAM1855YAD,2022-09-02,curfew,1919-12-27,male,asian,Theft offence
MZS7964DOY,2022-08-03,curfew,1956-06-21,male,asian,Summary motoring
IAL1542YES,2022-08-31,location,1905-02-23,male,black,Summary motoring
AUJ1012YGH,2022-08-24,curfew,1915-10-31,male,black,Theft offence
ABN6801BQK,2022-09-08,curfew,1934-04-18,unknown,unknown,Fraud
JOU1640OBF,2022-09-21,location,1911-03-12,male,black,Other Indictable
OLP8160JVC,2022-08-13,alcohol,1976-10-23,male,black,Summary motoring
SIW2277KDK,2022-10-18,location,1921-07-05,male,unknown,Fraud
PJU0595PSS,2022-10-05,location,2016-01-19,male,white,Theft offence
SPR3236KBV,2022-12-08,alcohol,1971-04-19,male,other,Other Indictable
FSJ7960QYV,2022-10-04,alcohol,1914-09-20,female,asian,Drug offence
KEX0340THQ,2022-10-22,alcohol,1930-12-21,male,asian,Theft offence
MQT1000BQJ,2022-11-03,alcohol,1950-04-12,male,asian,Drug offence
DKW2017YLM,2022-08-23,alcohol,2010-08-09,female,asian,Summary non-motoring
GCV6709RJS,2022-11-21,location,1948-04-14,female,white,Drug offence
BQM8238AOL,2022-11-06,curfew,1900-05-27,female,asian,Theft offence
LAI9014VQU,2022-08-13,curfew,1903-08-03,female,black,Summary non-motoring
VPO6100YAS,2022-09-12,location,1940-08-24,female,other,Violence against the person
AGJ5574IGZ,2022-08-13,location,1999-05-19,male,white,Criminal Damage
MNK5002UWA,2022-09-28,alcohol,1958-03-19,male,asian,Theft offence
XUF2860SPU,2022-09-17,curfew,1967-03-08,male,unknown,Violence against the person
UDD5513HBC,2022-09-05,location,1984-03-25,male,unknown,Violence against the person
AKY4177GMD,2022-11-29,location,1995-11-07,male,black,Summary non-motoring
BLK9055WMP,2022-12-23,alcohol,1933-10-04,female,unknown,Summary motoring
LMU0769HNC,2022-11-02,curfew,1930-04-09,male,unknown,Fraud
JMA2382YRN,2022-12-01,alcohol,2019-06-18,male,other,Theft offence
OWL5166ELH,2022-11-27,location,1909-10-20,male,other,Theft offence
XNT4610VEL,2022-08-26,alcohol,1930-12-23,male,white,Drug offence
RHE6612QGZ,2022-10-09,alcohol,1990-08-25,female,other,Summary motoring
ENJ0392HHV,2022-08-28,location,1909-10-03,male,mixed,Summary non-motoring
BLC4897RVP,2022-10-29,alcohol,1937-10-24,female,other,Violence against the person
RVV9394JNE,2022-12-20,alcohol,1980-11-13,male,mixed,Summary non-motoring
OVL1516EDG,2022-08-18,alcohol,1951-03-31,male,asian,Other Indictable
GJP2885UJM,2022-12-23,curfew,2015-10-01,female,white,Summary non-motoring
XEM7292AEW,2022-08-19,alcohol,1920-01-07,female,black,Summary motoring
EGW5784YKP,2022-11-03,location,1945-04-23,female,white,Theft offence
EJC3080JTE,2022-09-20,alcohol,1916-02-15,male,black,Other Indictable
WOQ6524IFS,2022-10-24,curfew,2020-04-28,male,other,Violence against the person
RHF5195LAU,2022-11-23,location,1974-06-22,female,asian,Other Indictable
JVY0329BJD,2022-08-17,curfew,2007-10-10,male,other,Summary non-motoring
ZNO6659QSH,2022-12-10,alcohol,2003-06-25,male,black,Fraud
ZDM6624AOP,2022-12-16,curfew,1906-02-11,male,mixed,Drug offence
JNH0896TCR,2022-08-06,location,1968-02-08,male,asian,Other Indictable
IXQ9295DEI,2022-10-18,curfew,1912-06-17,male,white,Summary motoring
XXZ6429GFV,2022-10-25,alcohol,1930-08-25,female,asian,Violence against the person
QGY9088DBE,2022-11-23,curfew,1990-06-02,male,other,Fraud
CZV4211TIX,2022-09-02,alcohol,1915-11-16,female,asian,Violence against the person
TVT0721EXN,2022-12-01,curfew,1991-05-22,female,other,Drug offence
ZNN9403QJS,2022-11-05,location,1979-09-14,female,black,Fraud
EEL4720QLK,2022-12-03,location,1929-02-18,male,black,Summary motoring
GNA4811SDS,2022-10-13,curfew,1928-04-18,female,white,Theft offence
AHI3177LMV,2022-11-23,curfew,2000-09-20,male,mixed,Drug offence
WUY3683ABC,2022-09-05,curfew,1970-07-18,male,mixed,Other Indictable
LFC3508WWD,2022-09-06,curfew,1973-05-07,female,asian,Criminal Damage
EJT2354ARA,2022-12-24,location,1911-11-04,male,white,Criminal Damage
SVF8124OHA,2022-08-09,location,1954-03-09,female,asian,Other Indictable
VBZ8528DFL,2022-10-13,location,1969-03-08,male,asian,Other Indictable
VKF7990ILA,2022-12-22,curfew,2004-11-03,female,other,Theft offence
EEE3753MDF,2022-11-29,curfew,1947-07-09,female,black,Violence against the person
SHE9783VJU,2022-09-20,alcohol,1900-04-17,female,mixed,Other Indictable
VQR6070TGG,2022-09-05,curfew,1975-03-07,male,mixed,Violence against the person
ILR3054DEV,2022-12-02,curfew,1952-05-18,male,other,Summary motoring
GWW1319LDV,2022-09-12,alcohol,1992-05-20,female,mixed,Criminal Damage
DPC4095PWJ,2022-11-05,alcohol,2008-12-21,female,black,Drug offence
NUE1998OFY,2022-08-05,location,1948-10-17,male,other,Other Indictable
JMW1988BRB,2022-08-14,curfew,1902-03-15,female,mixed,Summary motoring
YBI7939VJL,2022-08-13,location,1931-02-20,male,black,Criminal Damage
ZKI5411OTX,2022-10-09,alcohol,1957-02-23,male,other,Summary motoring
IRR0451HJF,2022-08-15,curfew,1928-04-20,female,unknown,Other Indictable
DMR7042CLA,2022-12-14,curfew,2001-02-03,male,mixed,Drug offence
VRM3052NPT,2022-11-16,curfew,1955-06-08,male,white,Theft offence
GXQ0752RWV,2022-10-08,location,1922-03-26,male,white,Fraud
TPE8383DIC,2022-12-07,curfew,1997-08-01,female,black,Summary motoring
NZR7964ABO,2022-12-22,alcohol,1957-07-29,male,white,Criminal Damage
VPF4897LHN,2022-12-12,alcohol,1960-02-09,female,unknown,Violence against the person
HSU5222CXI,2022-09-14,alcohol,1934-03-26,male,other,Fraud
ATK3246RLP,2022-09-22,location,1930-12-06,male,other,Other Indictable
RJD2654VSH,2022-09-22,alcohol,1920-05-16,male,other,Summary motoring
GJB1799QFR,2022-11-10,alcohol,2008-10-18,male,white,Other Indictable
OCC9879NNU,2022-08-09,alcohol,1978-11-17,male,unknown,Summary motoring
ZFH0492MKD,2022-08-09,location,1978-04-26,female,other,Other Indictable
VIQ0914VMT,2022-09-21,location,1956-10-24,female,mixed,Theft offence
JYM4960HNT,2022-11-24,alcohol,1909-11-03,female,mixed,Summary motoring
HFG2015WPG,2022-12-03,curfew,2010-10-08,female,other,Theft offence
PEI4257TSB,2022-12-20,curfew,1958-11-15,male,asian,Theft offence
BBB5866ILX,2022-09-10,location,1941-10-05,female,other,Summary non-motoring
QII7184QJN,2022-11-15,alcohol,1997-07-22,female,black,Drug offence
MMR0966GEU,2022-08-21,location,2013-09-13,male,white,Summary motoring
VMW0071NYQ,2022-08-18,location,2005-06-17,male,mixed,Other Indictable
CRO3972SDL,2022-12-05,location,1997-01-21,female,asian,Drug offence
DYG6277CUQ,2022-12-22,curfew,1969-01-04,female,other,Fraud
TRK1684EFF,2022-11-18,location,2007-01-02,female,asian,Summary non-motoring
IIA4410CMS,2022-11-13,location,1921-05-05,male,black,Theft offence
JEN8084BVN,2022-10-08,location,1989-06-02,female,black,Summary motoring
WMJ9893TBL,2022-12-23,curfew,1988-06-02,male,unknown,Summary non-motoring
WVR0246ZRX,2022-09-29,location,1979-04-03,female,white,Violence against the person
VFZ3076LYI,2022-08-16,alcohol,1953-02-18,female,white,Violence against the person
ATD5548TQU,2022-10-16,curfew,1988-09-07,male,unknown,Criminal Damage
JAZ3465UYP,2022-12-03,alcohol,2017-01-25,male,unknown,Criminal Damage
MWK8754EUW,2022-08-26,curfew,1942-04-22,female,mixed,Other Indictable
PGG7888WOT,2022-09-17,location,1959-06-07,female,unknown,Other Indictable
IAW2633SFX,2022-12-23,location,2007-10-19,male,other,Summary non-motoring
BUZ0473TYH,2022-10-21,curfew,2013-05-01,female,other,Violence against the person
YQD3041PTT,2022-09-05,alcohol,1970-02-22,female,mixed,Drug offence
MBV6521JKL,2022-12-22,location,2009-07-21,female,asian,Criminal Damage
ZPE0174AOX,2022-08-16,curfew,1949-10-06,female,white,Drug offence
YRT1375ZJD,2022-12-11,location,2006-02-09,male,black,Summary non-motoring
IJK3482MIG,2022-09-07,alcohol,2019-10-01,female,black,Theft offence
QIS3447VHD,2022-08-20,location,1936-08-06,male,black,Summary motoring
LFD6009YTU,2022-09-13,location,2004-09-13,female,asian,Violence against the person
FHH5039YXH,2022-09-20,location,1987-09-15,female,other,Fraud
JIZ7166ELF,2022-12-18,curfew,2006-02-26,male,unknown,Violence against the person
TXL1287EPP,2022-10-22,curfew,1921-05-21,male,other,Violence against the person
NFE9390XPI,2022-12-05,location,1925-12-15,female,other,Drug offence
VQA9640ZZB,2022-10-28,curfew,2017-02-18,male,unknown,Violence against the person
YBH3792AVH,2022-12-24,curfew,1935-06-11,male,other,Violence against the person
GJC6670VHE,2022-08-13,curfew,1989-06-08,female,mixed,Criminal Damage
LXY6942KIA,2022-08-10,curfew,1914-10-20,male,unknown,Summary motoring
GPV8631PEG,2022-12-21,curfew,2009-07-30,male,asian,Criminal Damage
NOZ5909UCF,2022-10-17,alcohol,1936-10-31,male,other,Violence against the person
WTJ8598RBX,2022-12-07,alcohol,1962-04-20,male,black,Summary motoring
DCG3468MQN,2022-10-10,location,1995-10-24,female,white,Other Indictable
UYA8326QLE,2022-10-28,alcohol,1927-01-17,female,black,Violence against the person
IZL8413LTQ,2022-10-21,curfew,1977-05-06,male,white,Summary motoring
CCF4630BDA,2022-09-06,location,1917-02-09,female,other,Violence against the person
VKY2718NPY,2022-09-20,location,1920-01-20,male,black,Theft offence
ALQ9533YHR,2022-09-16,alcohol,1919-08-14,male,other,Other Indictable
OFK9574JME,2022-12-14,location,1985-05-26,male,other,Summary motoring
SOI0785TST,2022-10-15,location,1934-02-18,male,asian,Summary motoring
QMD9703EON,2022-10-02,curfew,1930-10-14,male,other,Fraud
VJE1357TPZ,2022-12-07,alcohol,1900-05-13,female,black,Summary motoring
EFN5068PYM,2022-12-23,alcohol,1905-02-28,male,asian,Violence against the person
TNZ9120IMI,2022-08-21,location,2003-10-13,female,asian,Criminal Damage
IHA0319MHI,2022-10-09,alcohol,1908-03-31,female,mixed,Other Indictable
MVX8925CJX,2022-09-24,curfew,2020-07-23,male,unknown,Fraud
RBL7470TBF,2022-10-11,alcohol,1900-08-27,male,white,Drug offence
ISI7218DNE,2022-08-21,curfew,1996-05-21,male,asian,Summary non-motoring
OTO7415KDI,2022-08-30,curfew,1901-01-21,female,mixed,Drug offence
KMZ6224MSF,2022-10-16,alcohol,1971-01-05,female,white,Summary motoring
PRD6555XQL,2022-09-11,alcohol,1901-03-11,female,mixed,Summary non-motoring
XWM8379HZC,2022-10-03,alcohol,1903-08-11,female,black,Summary motoring
LIO9860TPX,2022-09-04,location,1985-11-05,male,black,Fraud
LCU5372KIE,2022-09-27,curfew,1962-09-15,female,black,Summary motoring
WDS8104NQO,2022-08-29,curfew,1923-05-07,female,white,Fraud
OHA6362IMN,2022-08-04,alcohol,2000-12-20,male,mixed,Other Indictable
IFJ4001WZE,2022-11-04,alcohol,1912-03-18,female,unknown,Other Indictable
QSP8150MOU,2022-11-30,curfew,1927-10-28,female,white,Other Indictable
XYD3214VHO,2022-10-10,location,2006-02-19,female,mixed,Drug offence
LOV8724AZU,2022-11-24,alcohol,1970-12-09,male,unknown,Summary non-motoring
IGC0039BJJ,2022-09-11,alcohol,2018-07-29,male,other,Summary motoring
RCW6219BVY,2022-08-23,alcohol,1983-10-27,female,asian,Summary motoring
VZZ0556LMG,2022-09-09,alcohol,1991-03-14,male,unknown,Summary non-motoring
FFY3885AWR,2022-11-12,location,2021-05-15,male,black,Summary non-motoring
BYY8859KNM,2022-08-11,alcohol,1927-11-14,male,unknown,Criminal Damage
IQH5276ZSV,2022-08-15,location,1985-12-30,female,unknown,Summary non-motoring
ONT3496QXW,2022-11-03,location,1925-10-04,male,unknown,Summary non-motoring
YLD7193MQC,2022-10-17,alcohol,2017-08-24,male,unknown,Drug offence
OUO2749YRO,2022-12-22,alcohol,1901-08-09,male,unknown,Fraud
YFP5072YNH,2022-08-30,alcohol,2004-05-16,male,white,Summary non-motoring
LZS9911EBA,2022-10-27,curfew,2002-06-05,female,unknown,Violence against the person
LDH1540PLS,2022-08-08,location,1988-10-29,male,other,Drug offence
NCJ3233VME,2022-12-05,alcohol,1950-08-15,female,unknown,Theft offence
OVQ6020PYO,2022-09-13,location,2005-09-01,male,mixed,Criminal Damage
VTD9944DYN,2022-09-20,curfew,2004-12-29,female,unknown,Violence against the person
DLW1387IXS,2022-08-26,location,2021-12-22,female,white,Summary non-motoring
GXR8318DNQ,2022-12-17,alcohol,1963-07-29,male,mixed,Criminal Damage
BPZ2577SLR,2022-12-17,curfew,1950-10-01,female,black,Violence against the person
DTH2384AGZ,2022-12-04,alcohol,1907-05-14,male,black,Drug offence
PSI0878LYL,2022-11-04,location,1924-04-24,female,asian,Criminal Damage
OIT3732HGX,2022-11-30,location,1985-09-10,male,unknown,Other Indictable
KBM1802HRC,2022-08-20,alcohol,1947-01-30,male,black,Fraud
MCQ9567GVD,2022-08-31,curfew,1962-04-17,male,white,Violence against the person
JYX2777ZOI,2022-09-17,alcohol,1939-11-20,female,mixed,Drug offence
RDL3044MLK,2022-08-18,curfew,1980-03-08,female,mixed,Summary motoring
AYL6850LLG,2022-11-10,curfew,2021-01-13,male,unknown,Summary motoring
TSH5127GHR,2022-08-26,location,1923-06-22,male,black,Summary motoring
ECL0341SLN,2022-11-25,curfew,1913-04-11,male,white,Summary motoring
DEL2687BKZ,2022-10-24,curfew,2007-09-06,male,unknown,Drug offence
ABZ0582CFW,2022-08-13,curfew,1900-01-10,female,white,Other Indictable
QIM8236IJR,2022-09-17,curfew,1928-03-14,female,other,Theft offence
YQG1678HJC,2022-12-21,curfew,1905-12-04,female,unknown,Violence against the person
JSZ8777WYW,2022-10-29,location,1922-04-02,female,mixed,Theft offence
GRS5652CCY,2022-11-14,alcohol,2003-03-23,female,asian,Other Indictable
OZA6091SCR,2022-10-27,location,2003-10-06,male,unknown,Other Indictable
KZS7949UYF,2022-09-20,alcohol,2012-08-06,male,unknown,Other Indictable
FQB0606CIK,2022-10-28,location,1964-11-29,female,other,Drug offence
XYC6615EQE,2022-08-13,curfew,1956-10-27,female,mixed,Summary motoring
ZZZ8819CSL,2022-08-30,curfew,1918-01-17,female,mixed,Drug offence
NZT7347EJR,2022-08-22,alcohol,1966-10-07,female,asian,Summary motoring
HNK8048GFN,2022-12-24,alcohol,1948-12-18,female,other,Summary non-motoring
RRI6225UTA,2022-09-05,curfew,1959-01-11,male,white,Summary motoring
FAK0102CPW,2022-11-07,curfew,1981-03-25,male,black,Other Indictable
QQS7471QEM,2022-09-07,alcohol,1925-06-20,male,black,Summary non-motoring
AJI8896NGZ,2022-11-05,curfew,1927-07-15,female,black,Summary motoring
YNV5490NSV,2022-11-11,curfew,1938-07-09,male,asian,Violence against the person
WVW6084EBV,2022-09-19,curfew,1997-03-14,male,asian,Drug offence
WMP9315GKH,2022-10-12,curfew,1911-12-14,male,black,Drug offence
CQI5260AVK,2022-11-22,curfew,1982-01-19,female,other,Criminal Damage
AHO9968PGK,2022-10-20,location,2004-03-04,female,other,Drug offence
KOS7567BLB,2022-11-06,alcohol,1995-02-20,female,mixed,Drug offence
NUR4022KZL,2022-09-05,location,1908-12-07,female,white,Summary motoring
XIE6233SSG,2022-10-09,curfew,1973-05-17,male,other,Drug offence
KGA2477YXS,2022-09-18,alcohol,1999-07-24,female,asian,Violence against the person
XMK1341QSQ,2022-12-24,alcohol,1920-09-02,female,white,Summary non-motoring
FPF5275PNI,2022-10-23,alcohol,1978-12-07,female,white,Summary non-motoring
EJE7277LJH,2022-09-15,curfew,1909-10-02,female,mixed,Fraud
NRC9995HIW,2022-09-06,location,1902-12-26,male,unknown,Other Indictable
FAC7266LCE,2022-12-06,alcohol,2010-10-23,female,black,Fraud
QUQ5330WCK,2022-08-05,alcohol,2013-07-19,male,white,Violence against the person
RMG9297AOV,2022-12-13,curfew,1918-11-09,male,unknown,Drug offence
NDL8034ZNU,2022-12-02,curfew,1975-09-13,male,other,Theft offence
RPD7648UCM,2022-10-09,location,1979-10-07,female,unknown,Theft offence
EHM3807DUL,2022-08-13,alcohol,1934-07-01,female,white,Violence against the person
DGN5739TDX,2022-09-15,location,1960-02-16,male,black,Summary motoring
KUE0215UZC,2022-09-03,curfew,1933-01-12,male,black,Other Indictable
JJA1111TRH,2022-10-02,alcohol,1965-01-02,female,unknown,Summary motoring
AYJ9544AUG,2022-08-12,location,1954-12-03,male,unknown,Violence against the person
GOS3471VGH,2022-08-13,location,1976-03-15,male,mixed,Other Indictable
UYD6664FGM,2022-11-01,location,1947-05-27,female,mixed,Fraud
IBA1965TEL,2022-12-02,location,2011-08-04,male,white,Other Indictable
XQL6293RJI,2022-11-17,alcohol,2018-01-08,male,mixed,Drug offence
QHA4560XLB,2022-08-04,curfew,1930-04-06,male,other,Drug offence
CDU8230XAX,2022-11-18,location,1932-08-13,female,mixed,Criminal Damage
CUO7370RFY,2022-12-18,curfew,2022-11-10,male,white,Summary non-motoring
OVH3216ZNX,2022-08-10,alcohol,2021-12-15,male,black,Criminal Damage
GQN5996XWS,2022-12-25,location,1940-03-22,male,asian,Violence against the person
ZHG0483XZS,2022-09-23,location,1998-04-21,female,asian,Summary non-motoring
IOT8279YXG,2022-10-13,location,1955-08-22,female,asian,Summary non-motoring
QEX5037TDZ,2022-09-08,location,1971-06-17,male,asian,Violence against the person
XXA7778XET,2022-11-24,location,1964-01-08,female,unknown,Summary non-motoring
BME7655CSC,2022-08-20,alcohol,1944-01-20,male,asian,Criminal Damage
ORN2262CMW,2022-10-01,alcohol,1973-02-01,male,unknown,Fraud
ZSN3858FRC,2022-08-22,location,1948-03-08,male,unknown,Theft offence
COL0374UHB,2022-10-17,location,1916-01-24,female,mixed,Criminal Damage
VNM5447SBZ,2022-10-21,location,1949-01-04,male,asian,Violence against the person
JXC2509YSG,2022-12-11,location,1922-12-21,male,other,Summary non-motoring
QUP3409XTX,2022-10-11,location,1969-02-17,male,asian,Summary non-motoring
MIW9583CFF,2022-12-08,location,1939-04-28,female,mixed,Other Indictable
DCZ9076KHP,2022-08-20,alcohol,1908-12-07,female,mixed,Summary motoring
TIA7872RUU,2022-11-24,alcohol,2002-07-10,female,unknown,Violence against the person
SUY7140DGW,2022-10-13,curfew,1912-02-06,female,other,Summary motoring
BAE7272PFG,2022-10-10,curfew,1951-07-08,male,mixed,Summary non-motoring
SEI4314QRB,2022-11-08,curfew,1980-11-22,male,black,Criminal Damage
GRE3412XJZ,2022-11-16,curfew,1981-06-18,female,other,Summary non-motoring
DOR9395FBE,2022-08-19,alcohol,1937-04-07,female,white,Fraud
MJQ0718AAE,2022-10-25,curfew,1919-02-19,female,unknown,Other Indictable
WBS5399JIT,2022-09-16,curfew,1941-10-26,female,mixed,Drug offence
ZBL2570ZBH,2022-08-25,location,2005-01-14,male,other,Criminal Damage
LNP7198UXM,2022-10-30,alcohol,2011-11-01,male,other,Criminal Damage
NIZ7457XTO,2022-11-07,curfew,2000-05-09,female,black,Summary non-motoring
VID8602AED,2022-10-24,alcohol,2002-12-03,male,black,Criminal Damage
XDD1000TKK,2022-11-06,location,1963-07-16,female,unknown,Criminal Damage
IUO1771GLM,2022-12-02,location,1944-07-10,female,unknown,Summary non-motoring
OSY5607MNO,2022-12-07,alcohol,1947-07-20,female,mixed,Violence against the person
KYN3007CTB,2022-11-24,curfew,1979-02-09,male,unknown,Violence against the person
IUY7712CVS,2022-10-11,location,1917-01-20,male,white,Other Indictable
SCQ2180LTT,2022-09-23,curfew,1962-01-21,male,white,Criminal Damage
BMW3538YIE,2022-08-08,location,1911-01-02,female,black,Other Indictable
SMI3967TYC,2022-10-19,alcohol,1954-02-22,female,white,Fraud
COJ4480DDM,2022-12-15,curfew,1901-05-31,male,black,Other Indictable
CIO2602WAU,2022-08-01,alcohol,1964-03-02,male,unknown,Fraud
GTN5630IGL,2022-08-08,curfew,1983-09-29,male,mixed,Criminal Damage
XFM9973YMB,2022-08-17,alcohol,1939-01-02,male,mixed,Theft offence
LFZ0812LDQ,2022-10-23,alcohol,1904-08-06,male,black,Summary non-motoring
VFJ4186CDK,2022-08-27,alcohol,1974-03-10,male,black,Criminal Damage
BNE5868ALX,2022-08-05,alcohol,1994-05-27,female,black,Summary non-motoring
YCN3969ATN,2022-10-04,location,1951-12-09,male,unknown,Drug offence
AKT6646MAN,2022-12-19,alcohol,2021-02-23,female,other,Fraud
FDL6749HHZ,2022-09-17,location,1968-09-02,female,mixed,Other Indictable
FSW5421AKW,2022-12-15,alcohol,1948-11-06,male,unknown,Drug offence
IFG2815YVH,2022-11-02,alcohol,1923-04-06,female,mixed,Summary motoring
ZQK6148RCI,2022-10-30,curfew,1980-06-21,male,white,Theft offence
MXN2743UBX,2022-10-15,alcohol,1934-07-02,female,asian,Criminal Damage
JQE6587IIB,2022-10-20,alcohol,1969-05-28,male,unknown,Violence against the person
KRK0200OTM,2022-08-21,location,1999-09-08,female,white,Drug offence
UZI6243WMY,2022-11-07,curfew,1964-08-31,male,mixed,Summary motoring
NEO6342CJD,2022-11-30,location,1945-10-24,female,black,Summary motoring
TAJ3076NRP,2022-08-31,location,1909-07-21,female,unknown,Violence against the person
EFZ2060GGZ,2022-09-07,location,1976-06-06,female,other,Fraud
ADE5465HKA,2022-11-08,curfew,1905-09-08,male,black,Summary non-motoring
GQS5324SYD,2022-11-04,curfew,1908-01-17,female,unknown,Fraud
WMC0096ASN,2022-09-18,location,1949-12-18,male,white,Violence against the person
NMY7385VAH,2022-09-07,curfew,1998-08-09,female,white,Other Indictable
BRX2678VFJ,2022-08-10,alcohol,1929-10-16,female,unknown,Fraud
